Name,Latest Chapter,Dated Released,depth,download_timeout,download_slot,download_latency,Link,Genre,Status,Rating,img-link
The Detective Of Muiella,Chapter 89,"Aug 27,20",2,180.0,manganelo.com,0.5612561702728271,https://manganelo.com/manga/cz921069,"Fantasy,Mystery,Romance,Manhwa",Ongoing,4.73,https://avt.mkklcdnv6.com/42/j/19-1583500725.jpg
Changan Fantasy,Chapter 14,"Aug 27,20",2,180.0,manganelo.com,0.582111120223999,https://manganelo.com/manga/ul923228,"Action,Comedy,Fantasy",Ongoing,4.29,https://avt.mkklcdnv6.com/27/b/21-1592066126.jpg
I'm Not The Overlord!,Chapter 26,"Aug 27,20",2,180.0,manganelo.com,0.6409518718719482,https://manganelo.com/manga/ix923063,"Action,Adventure,Comedy,Fantasy",Ongoing,4.21,https://avt.mkklcdnv6.com/20/b/21-1590645153.jpg
"Kumo Desu Ga, Nani Ka? Daily Life Of The Four Spider Sisters",Chapter 47,"Aug 27,20",2,180.0,manganelo.com,0.662959098815918,https://manganelo.com/manga/rk919948,"Action,Adventure,Comedy,Drama,Fantasy,Seinen,Slice of life,Isekai",Ongoing,4.38,https://avt.mkklcdnv6.com/1/a/18-1583499099.jpg
Elskar,Chapter 19,"Aug 27,20",2,180.0,manganelo.com,0.7297153472900391,https://manganelo.com/manga/vo921524,"Fantasy,Romance,Shoujo,Supernatural,Webtoons",Ongoing,4.67,https://avt.mkklcdnv6.com/9/n/20-1583501392.jpg
"Ingrid, The White Deer",Chapter 34,"Aug 27,20",2,180.0,manganelo.com,0.8115236759185791,https://manganelo.com/manga/qk922463,"Fantasy,Historical,Josei,Romance,Webtoons",Ongoing,4.39,https://avt.mkklcdnv6.com/44/y/20-1584323309.jpg
 Mejaz - Regulus In The World,Chapter 30.3: Leaving Home,"Aug 27,20",2,180.0,manganelo.com,0.8304789066314697,https://manganelo.com/manga/sg919376,"Fantasy,Historical,Romance,Shoujo",Ongoing,4.65,https://avt.mkklcdnv6.com/29/x/18-1583498236.jpg
Rebirth Of The Urban Immortal Cultivator,Chapter 458,"Aug 27,20",2,180.0,manganelo.com,0.6828827857971191,https://manganelo.com/manga/gd920457,"Action,Adventure,Fantasy,Martial arts,Seinen,Slice of life,Supernatural",Ongoing,4.35,https://avt.mkklcdnv6.com/19/o/19-1583499863.jpg
Urgent Request: How To Raise An Abandoned Dragon,Chapter 5,"Aug 27,20",2,180.0,manganelo.com,0.29917192459106445,https://manganelo.com/manga/pl921122,"Fantasy,Romance,Shounen,Slice of life",Ongoing,4.86,https://avt.mkklcdnv6.com/44/i/19-1583500790.jpg
The Terrarium With Key,Vol.2 Chapter 6: Rainforest 2,"Aug 27,20",2,180.0,manganelo.com,0.32712554931640625,https://manganelo.com/manga/pw921850,Sci fi,Ongoing,4.46,https://avt.mkklcdnv6.com/21/t/20-1583501860.jpg
Empress's Harem,Chapter 90,"Aug 27,20",2,180.0,manganelo.com,0.32215213775634766,https://manganelo.com/manga/le922040,"Drama,Romance",Ongoing,4.59,https://avt.mkklcdnv6.com/28/u/20-1583502135.jpg
Douluo Dalu Ii - Jueshui Tangmen,Chapter 223,"Aug 27,20",2,180.0,manganelo.com,0.32712483406066895,https://manganelo.com/manga/douluo_dalu_ii_jueshui_tangmen,"Action,Fantasy,Martial arts,Shounen,Supernatural,Manhua",Ongoing,4.76,https://avt.mkklcdnv6.com/31/x/1-1583464949.jpg
Masamune-Kun's Re○○○,Chapter 8: Masamune-Kun's Reset,"Aug 27,20",2,180.0,manganelo.com,0.295208215713501,https://manganelo.com/manga/rq918471,"Comedy,School life,Shounen,Slice of life",Ongoing,3.72,https://avt.mkklcdnv6.com/47/a/17-1583496959.jpg
Vengeance Of The Heavenly Demon,Chapter 34,"Aug 27,20",2,180.0,manganelo.com,0.5142977237701416,https://manganelo.com/manga/ac919713,"Adventure,Fantasy,Martial arts,Seinen,Supernatural",Ongoing,3.76,https://avt.mkklcdnv6.com/42/d/18-1583498734.jpg
"Isekai De Cheat Skill Wo Te Ni Shita Ore Wa, Genjitsu Sekai Wo Mo Musou Suru ~Level Up Wa Jinsei Wo Kaeta~",Chapter 6: Ousai Academy,"Aug 27,20",2,180.0,manganelo.com,0.43015480041503906,https://manganelo.com/manga/sd921752,"Action,Adventure,Fantasy",Ongoing,4.81,https://avt.mkklcdnv6.com/17/z/20-1583501720.jpg
Infinite Apostles And Twelve War Girls,Chapter 41,"Aug 27,20",2,180.0,manganelo.com,0.6245708465576172,https://manganelo.com/manga/ld922127,"Action,Adventure,Fantasy",Ongoing,4.63,https://avt.mkklcdnv6.com/32/c/20-1583502263.jpg
"Kumo Desu Ga, Nani Ka?",Chapter 46.1,"Aug 27,20",2,180.0,manganelo.com,0.39920759201049805,https://manganelo.com/manga/kumo_desu_ga_nani_ka,"Action,Adventure,Comedy,Drama,Fantasy,Seinen,Supernatural",Ongoing,4.82,https://avt.mkklcdnv6.com/29/q/15-1583492557.jpg
The Rise Of The Unemployed Wise Man,Chapter 10,"Aug 27,20",2,180.0,manganelo.com,0.5508313179016113,https://manganelo.com/manga/ur923338,"Action,Adventure,Comedy,Fantasy",Ongoing,4.67,https://avt.mkklcdnv6.com/31/q/21-1592972956.jpg
Akebi-Chan No Sailor Fuku,Vol.6 Chapter 34: Everything I Would Like To Do,"Aug 27,20",2,180.0,manganelo.com,0.673459529876709,https://manganelo.com/manga/akebichan_no_sailor_fuku,"Comedy,Ecchi,School life,Seinen",Ongoing,4.57,https://avt.mkklcdnv6.com/5/t/15-1583491675.jpg
Sorcerer Maiden,Chapter 35: Feelings,"Aug 27,20",2,180.0,manganelo.com,0.656557559967041,https://manganelo.com/manga/sorcerer_maiden,"Drama,Fantasy,Historical,Romance,Shoujo,Shounen,Manhua",Ongoing,4.39,https://avt.mkklcdnv6.com/30/g/16-1583494558.jpg
29-Sai Hitorimi Chuuken Boukensha No Nichijou,Chapter 26: Through The Storm,"Aug 27,20",2,180.0,manganelo.com,0.543140172958374,https://manganelo.com/manga/29sai_hitorimi_chuuken_boukensha_no_nichijou,"Adventure,Fantasy,Shounen",Ongoing,4.79,https://avt.mkklcdnv6.com/34/i/13-1583488971.jpg
The Vengeful White Cat Lounging On The Dragon King's Lap,Chapter 18.2,"Aug 27,20",2,180.0,manganelo.com,0.330702543258667,https://manganelo.com/manga/mf919129,"Adventure,Comedy,Drama,Fantasy,Romance,Shoujo,Slice of life",Ongoing,4.84,https://avt.mkklcdnv6.com/20/v/18-1583497914.jpg
 Golden Time,Chapter 11,"Aug 27,20",2,180.0,manganelo.com,0.33516669273376465,https://manganelo.com/manga/tp921640,"Drama,Historical,Romance,Tragedy,Webtoons",Ongoing,4.81,https://avt.mkklcdnv6.com/13/v/20-1583501560.jpg
Kingdom Of The Queen,Chapter 57,"Aug 27,20",3,180.0,manganelo.com,0.39528322219848633,https://manganelo.com/manga/tk921959,"Drama,Fantasy,Historical",Ongoing,4.43,https://avt.mkklcdnv6.com/25/u/20-1583502021.jpg
Parallel Paradise,Vol.11 Chapter 109: Silver Armor / Iron Curse,"Aug 27,20",2,180.0,manganelo.com,0.5640077590942383,https://manganelo.com/manga/parallel_paradise,"Action,Adventure,Ecchi,Fantasy,Seinen",Ongoing,4.49,https://avt.mkklcdnv6.com/13/x/15-1583491961.jpg
Meng Shi Zai Shang,Chapter 175: When Ye Chen Yuan Bumps Into Mu Qing Han,"Aug 27,20",3,180.0,manganelo.com,0.3633592128753662,https://manganelo.com/manga/bw918450,"Action,Comedy,Fantasy,Martial arts,Romance",Ongoing,4.73,https://avt.mkklcdnv6.com/46/g/17-1583496932.jpg
Iris - Lady With A Smartphone,Chapter 83,"Aug 27,20",3,180.0,manganelo.com,0.29259324073791504,https://manganelo.com/manga/bq919100,"Romance,Shoujo",Ongoing,4.75,https://avt.mkklcdnv6.com/19/s/18-1583497867.jpg
Monster Bar,Chapter 41: A Parent's Love 5,"Aug 27,20",3,180.0,manganelo.com,0.5838127136230469,https://manganelo.com/manga/ef923362,"Action,Adventure,Fantasy,Slice of life,Supernatural,Webtoons",Ongoing,4.49,https://avt.mkklcdnv6.com/32/q/21-1593661813.jpg
They Say I Was Born A King's Daughter,Chapter 201,"Aug 27,20",3,180.0,manganelo.com,0.3314392566680908,https://manganelo.com/manga/cs917942,"Comedy,Drama,Fantasy,Josei,Romance,Shoujo,Webtoons",Ongoing,4.61,https://avt.mkklcdnv6.com/27/r/17-1583496251.jpg
The Duke’S Servant,Chapter 93,"Aug 27,20",3,180.0,manganelo.com,0.5170257091522217,https://manganelo.com/manga/xo923559,"Comedy,Fantasy,Gender bender,Historical,Josei,Romance,Webtoons",Ongoing,4.5,https://avt.mkklcdnv6.com/40/n/21-1596079930.jpg
The Child Of Light,Chapter 30,"Aug 27,20",3,180.0,manganelo.com,0.3081507682800293,https://manganelo.com/manga/jn919411,"Action,Adventure,Comedy,Drama,Fantasy,Martial arts,Shounen,Webtoons",,4.7,https://avt.mkklcdnv6.com/31/e/18-1583498292.jpg
Bound To You,Chapter 75,"Aug 27,20",3,180.0,manganelo.com,0.3321099281311035,https://manganelo.com/manga/ko921706,"Romance,Webtoons",Ongoing,4.24,https://avt.mkklcdnv6.com/16/g/20-1583501657.jpg
Devil’S Exclusive Sweetheart,Chapter 19,"Aug 27,20",3,180.0,manganelo.com,0.3271622657775879,https://manganelo.com/manga/me923786,"Comedy,Romance,Shoujo",Ongoing,3.65,https://avt.mkklcdnv6.com/49/m/21-1597599437.jpg
Isekai Monster Breeder,Chapter 8,"Aug 27,20",3,180.0,manganelo.com,0.3530573844909668,https://manganelo.com/manga/wt922813,"Comedy,Fantasy",Ongoing,4.56,https://avt.mkklcdnv6.com/9/g/21-1588736353.jpg
The Naive Mr. Lu,Chapter 156,"Aug 27,20",3,180.0,manganelo.com,0.5076749324798584,https://manganelo.com/manga/yq921739,"Drama,Romance",Ongoing,4.68,https://avt.mkklcdnv6.com/17/m/20-1583501704.jpg
Tian Lun,Chapter 9: Wang Yu Ting,"Aug 27,20",3,180.0,manganelo.com,0.3600327968597412,https://manganelo.com/manga/nw923562,"Action,Adventure",Ongoing,4.66,https://avt.mkklcdnv6.com/40/q/21-1596082467.jpg
Daughter's Friend,Vol.6 Chapter 49: Deviant,"Aug 27,20",3,180.0,manganelo.com,0.35207247734069824,https://manganelo.com/manga/wp920460,"Comedy,Drama,Ecchi,Mature,Psychological,School life,Seinen,Slice of life",Ongoing,4.61,https://avt.mkklcdnv6.com/19/r/19-1583499867.jpg
Martial Master,Chapter 361: Stop It!,"Aug 27,20",3,180.0,manganelo.com,0.37400007247924805,https://manganelo.com/manga/mq918999,"Action,Fantasy",Ongoing,4.51,https://avt.mkklcdnv6.com/15/x/18-1583497709.jpg
Mimibukuro-San No Chiebukuro,Chapter 4: A Location Game Of Love,"Aug 27,20",3,180.0,manganelo.com,0.36487388610839844,https://manganelo.com/manga/qj923588,"Comedy,Ecchi,Romance,School life,Seinen,Slice of life,Smut",Ongoing,4.75,https://avt.mkklcdnv6.com/41/q/21-1596206375.jpg
Under Prin,Chapter 326: Ep. 326 (Last Episode),"Aug 27,20",3,180.0,manganelo.com,0.38696861267089844,https://manganelo.com/manga/under_prin,"Action,Comedy,Drama,Fantasy,Josei,Mystery,Supernatural,Webtoons,Manhwa",Ongoing,3.86,https://avt.mkklcdnv6.com/13/b/1-1583464182.jpg
"His Favorite Idol Moves In Next Door, The Romcom",Chapter 70,"Aug 27,20",3,180.0,manganelo.com,0.334989070892334,https://manganelo.com/manga/pw918486,"Comedy,Romance",Ongoing,4,https://avt.mkklcdnv6.com/47/o/17-1583496980.jpg
Hoshihimemura No Naishobanashi,Vol.5 Chapter 27: Together With Everyone,"Aug 27,20",3,180.0,manganelo.com,0.33095788955688477,https://manganelo.com/manga/ro920856,"Adult,Comedy,Ecchi,Harem,Mature,Romance,School life,Seinen,Slice of life",Ongoing,4.45,https://avt.mkklcdnv6.com/34/g/19-1583500427.jpg
Libidors,Vol.5 Chapter 41: A Taste Of Things To Come.,"Aug 27,20",3,180.0,manganelo.com,0.3135983943939209,https://manganelo.com/manga/xs919640,"Action,Drama,Horror,Mystery,Seinen,Supernatural",Ongoing,4.34,https://avt.mkklcdnv6.com/39/m/18-1583498629.jpg
"I, Who Blocked The Demon King’S Ultimate Attack, Ended Up As The Little Hero’S Nanny!",Chapter 1,"Aug 27,20",3,180.0,manganelo.com,0.32753610610961914,https://manganelo.com/manga/xf923896,"Action,Adventure,Comedy,Fantasy",Ongoing,4.44,https://avt.mkklcdnv6.com/3/y/22-1598501703.jpg
Martial Peak,Chapter 653: Because I Have A Conflagrated Knowledge Sea!,"Aug 27,20",3,180.0,manganelo.com,0.3300364017486572,https://manganelo.com/manga/martial_peak,"Action,Adventure,Fantasy,Historical,Martial arts",Ongoing,4.69,https://avt.mkklcdnv6.com/20/b/16-1583494192.jpg
